oneid,choice,profit,ave_other,size,whichgroup,round,rematching,time
17260,70,6000,70,3,0,14,assortatively,2020-11-26 18:59:38
17260,70,7805.5,81.5,3,1,15,assortatively,2020-11-26 19:01:19
17260,71,6451.5,72.5,3,1,16,assortatively,2020-11-26 19:03:31
17260,66,8010,83,3,1,17,assortatively,2020-11-26 19:05:30
17260,72,4290,61,3,0,18,assortatively,2020-11-26 19:07:19
17260,70,4537.5,62.5,3,1,19,assortatively,2020-11-26 19:09:29
17260,69,4607,63,3,1,20,assortatively,2020-11-26 19:11:32
18194,60,NA,NA,NA,2,1,assortatively,2020-11-26 18:30:29
18194,56,4434,65,3,2,2,assortatively,2020-11-26 18:35:26
18194,59,2821.5,57.5,3,0,3,assortatively,2020-11-26 18:37:26
18194,50,4637.5,67.5,3,0,4,assortatively,2020-11-26 18:39:23
18194,68,3460,58,3,0,5,assortatively,2020-11-26 18:41:37
18194,77,6871,75,3,2,6,assortatively,2020-11-26 18:43:31
18194,66,6361.5,72.5,3,2,7,assortatively,2020-11-26 18:45:53
18194,70,6850,75,3,2,8,assortatively,2020-11-26 18:47:35
18194,79,7201.5,77.5,3,2,9,assortatively,2020-11-26 18:49:40
18194,99,6541.5,77.5,3,2,10,assortatively,2020-11-26 18:51:33
18194,60,9450,90,2,2,11,assortatively,2020-11-26 18:53:33
18194,99,6299,75,3,1,12,assortatively,2020-11-26 18:55:26
18194,99,7539,90,2,2,13,assortatively,2020-11-26 18:57:30
18194,70,8537.5,75,2,2,14,assortatively,2020-11-26 19:00:03
18194,98,5453.5,67.5,3,1,15,assortatively,2020-11-26 19:01:47
18194,67,6727.5,74.5,3,1,16,assortatively,2020-11-26 19:03:29
18194,88,6316,72,3,1,17,assortatively,2020-11-26 19:05:37
18194,98,3913.5,57.5,3,1,18,assortatively,2020-11-26 19:07:42
18194,95,7975,-1,1,2,19,assortatively,2020-11-26 19:09:43
18194,89,8479,-1,1,2,20,assortatively,2020-11-26 19:11:28
18779,55,NA,NA,NA,4,1,randomly,2020-11-26 18:30:28
18779,50,2002,57,3,0,2,randomly,2020-11-26 18:35:58
18779,52,4876,68,3,1,3,randomly,2020-11-26 18:37:25
18779,90,4837.5,62.5,3,3,4,randomly,2020-11-26 18:39:40
18779,92,2436,50,3,3,5,randomly,2020-11-26 18:41:38
18779,85,4837.5,62.5,3,4,6,randomly,2020-11-26 18:43:30
18779,56,8687.5,88.5,3,4,7,randomly,2020-11-26 18:45:22
18779,99,4557.5,61.5,3,1,8,randomly,2020-11-26 18:47:31
18779,57,5571,70,3,4,9,randomly,2020-11-26 18:49:27
18779,65,6796.21875,75.125,3,1,10,randomly,2020-11-26 18:51:41
18779,80,5772,68,3,2,11,randomly,2020-11-26 18:53:24
18779,56,2740,58,3,1,12,randomly,2020-11-26 18:56:09
18779,53,1013.5,52.5,3,0,13,randomly,2020-11-26 18:57:35
18779,56,3119.5,59.5,3,2,14,randomly,2020-11-26 18:59:19
18779,62,1056,50,3,2,15,randomly,2020-11-26 19:01:27
18779,56,1954,55,3,3,16,randomly,2020-11-26 19:03:32
18779,53,7567.5,81.5,3,0,17,randomly,2020-11-26 19:05:31
18779,66,5904,70,3,3,18,randomly,2020-11-26 19:07:40
18779,60,1587.5,52.5,3,1,19,randomly,2020-11-26 19:09:54
18779,51,975,53,3,2,20,randomly,2020-11-26 19:11:30
20114,60,NA,NA,NA,1,1,randomly,2020-11-26 18:30:24
20114,60,5700,70,3,1,2,randomly,2020-11-26 18:35:21
20114,70,2237.5,52.5,3,2,3,randomly,2020-11-26 18:37:21
20114,50,6737.5,77.5,3,0,4,randomly,2020-11-26 18:39:26
20114,50,5418,71,3,3,5,randomly,2020-11-26 18:41:23
20114,50,6048,74,3,1,6,randomly,2020-11-26 18:43:23
20114,60,3500,60,3,2,7,randomly,2020-11-26 18:45:34
