oneid,choice,profit,ave_other,size,whichgroup,round,rematching,time
5925,50,,,,2,1,not,2021-03-31 11:30:54
5925,50,4050,65,3,0,2,not,2021-03-31 11:35:36
5925,50,2538,59,3,0,3,not,2021-03-31 11:37:26
5925,50,1025.5,53.5,3,0,4,not,2021-03-31 11:39:21
5925,50,445.5,51.5,3,0,5,not,2021-03-31 11:41:23
5925,70,1600,50,3,0,6,not,2021-03-31 11:43:27
5925,60,1855.5,53.5,3,0,7,not,2021-03-31 11:45:32
5925,60,1452,52,3,0,8,not,2021-03-31 11:47:35
5925,65,1275,50,3,0,9,not,2021-03-31 11:49:52
5925,60,2119.5,54.5,3,0,10,not,2021-03-31 11:51:38
5925,60,2250,55,3,0,11,not,2021-03-31 11:53:23
5925,60,2635.5,56.5,3,0,12,not,2021-03-31 11:56:17
5925,60,2379.5,55.5,3,0,13,not,2021-03-31 11:57:27
5925,60,2250,55,3,0,14,not,2021-03-31 11:59:27
5925,60,2508,56,3,0,15,not,2021-03-31 12:01:38
5925,60,2762,57,3,0,16,not,2021-03-31 12:03:59
5925,100,4055.5,58.5,3,0,17,not,2021-03-31 12:06:13
5925,100,4055.5,58.5,3,0,18,not,2021-03-31 12:08:07
5925,100,4138,59,3,0,19,not,2021-03-31 12:09:40
5925,70,4000,60,3,0,20,not,2021-03-31 12:11:36
6185,50.25,,,,3,1,assortatively,2021-03-31 11:31:45
6185,50,2538,59,3,4,2,assortatively,2021-03-31 11:35:30
6185,50.5,1494.75,55,3,0,3,assortatively,2021-03-31 11:38:22
6185,60.25,919.9375,50,3,1,4,assortatively,2021-03-31 11:40:09
6185,55.25,3316.6875,60.5,3,4,5,assortatively,2021-03-31 11:41:34
6185,55.25,1486.1875,53.5,3,2,6,assortatively,2021-03-31 11:43:47
6185,53.25,1035.6875,52.5,3,1,7,assortatively,2021-03-31 11:45:49
6185,53,1013.5,52.5,3,1,8,assortatively,2021-03-31 11:48:02
6185,52,780,52,3,1,9,assortatively,2021-03-31 11:49:35
6185,52.25,1334.96875,53.875,3,2,10,assortatively,2021-03-31 11:52:05
6185,53,1435,54,3,1,11,assortatively,2021-03-31 11:53:53
6185,54,1381.5,53.5,3,2,12,assortatively,2021-03-31 11:55:43
6185,53.5,808.59375,51.625,3,2,13,assortatively,2021-03-31 11:57:51
6185,52.25,946.1875,52.5,3,2,14,assortatively,2021-03-31 11:59:36
6185,53,327.71875,50.125,3,1,15,assortatively,2021-03-31 12:01:27
6185,51.75,1325.9375,54,3,2,16,assortatively,2021-03-31 12:03:46
6185,72,6787.5,74.5,3,6,17,assortatively,2021-03-31 12:05:40
6185,73,6391,72,3,4,18,assortatively,2021-03-31 12:07:39
6185,72,6036,70,3,4,19,assortatively,2021-03-31 12:09:34
6185,70,4218,61,3,4,20,assortatively,2021-03-31 12:11:27
6393,60,,,,2,1,randomly,2021-03-31 11:30:41
6393,70,8800,80,2,5,2,randomly,2021-03-31 11:35:26
6393,75,6949.5,75.5,3,1,3,randomly,2021-03-31 11:37:34
6393,70,6688,74,3,2,4,randomly,2021-03-31 11:39:40
6393,65,7187.5,55,2,5,5,randomly,2021-03-31 11:41:33
6393,75,6875,50,2,5,6,randomly,2021-03-31 11:43:26
6393,70,2850,55,3,3,7,randomly,2021-03-31 11:45:36
6393,65,3187.5,57.5,3,3,8,randomly,2021-03-31 11:47:47
6393,55,2923,59,3,4,9,randomly,2021-03-31 11:49:31
6393,60,6282,73,3,2,10,randomly,2021-03-31 11:51:45
6393,75,6567,73,3,1,11,randomly,2021-03-31 11:53:38
6393,70,1600,50,3,4,12,randomly,2021-03-31 11:55:46
6393,75,5637.5,67.5,3,2,13,randomly,2021-03-31 11:57:26
6393,70,3552,58,3,3,14,randomly,2021-03-31 11:59:38
6393,55,1875,55,3,2,15,randomly,2021-03-31 12:01:31
6393,50,3058,61,3,4,16,randomly,2021-03-31 12:03:32
